RAW_METAR,STATION,DATETIME,WIND_DIR,WIND_SPEED,WIND_GUST,VISIBILITY,CLOUDS,TEMPERATURE,DEWPOINT,PRESSURE_QNH,WX1_INT,WX1_DESC,WX1_PHEN,WX2_INT,WX2_DESC,WX2_PHEN,WX3_INT,WX3_DESC,WX3_PHEN
202512011900 METAR VEPT 011900Z 00000KT 2000 BR NSC 15/12 Q1014 NOSIG=,VEPT,01-12-2025 19:00,000,00,,2000 m,,15,12,1014,,,BR,,,,,,
202512011930 METAR VEPT 011930Z 00000KT 2000 BR NSC 15/12 Q1014 NOSIG=,VEPT,01-12-2025 19:30,000,00,,2000 m,,15,12,1014,,,BR,,,,,,
202512012000 METAR COR VEPT 012000Z 00000KT 2000 BR NSC 15/15 Q1014 NOSIG=,VEPT,01-12-2025 20:00,000,00,,2000 m,,15,15,1014,,,BR,,,,,,
202512012008 METAR VEPT 012008Z 00000KT 2000 BR NSC 15/15 Q1014 NOSIG=,VEPT,01-12-2025 20:08,000,00,,2000 m,,15,15,1014,,,BR,,,,,,
202512012030 METAR VEPT 012030Z 00000KT 2000 BR NSC 15/15 Q1014 NOSIG=,VEPT,01-12-2025 20:30,000,00,,2000 m,,15,15,1014,,,BR,,,,,,
202512012100 METAR VEPT 012100Z 00000KT 2000 BR NSC 14/14 Q1013 NOSIG=,VEPT,01-12-2025 21:00,000,00,,2000 m,,14,14,1013,,,BR,,,,,,
202512012130 METAR VEPT 012130Z 00000KT 2000 BR NSC 14/14 Q1013 NOSIG=,VEPT,01-12-2025 21:30,000,00,,2000 m,,14,14,1013,,,BR,,,,,,
202512012200 METAR VEPT 012200Z 00000KT 2000 BR NSC 13/13 Q1013 NOSIG=,VEPT,01-12-2025 22:00,000,00,,2000 m,,13,13,1013,,,BR,,,,,,
202512012228 METAR VEPT 012228Z 00000KT 2000 BR NSC 13/13 Q1013 NOSIG=,VEPT,01-12-2025 22:28,000,00,,2000 m,,13,13,1013,,,BR,,,,,,
202512012230 METAR VEPT 012230Z 00000KT 2000 BR NSC 13/13 Q1013 NOSIG=,VEPT,01-12-2025 22:30,000,00,,2000 m,,13,13,1013,,,BR,,,,,,
202512012300 METAR VEPT 012300Z 00000KT 2000 BR NSC 14/11 Q1013 NOSIG=,VEPT,01-12-2025 23:00,000,00,,2000 m,,14,11,1013,,,BR,,,,,,
202512012330 METAR VEPT 012330Z 00000KT 1600 BR NSC 13/11 Q1014 NOSIG=,VEPT,01-12-2025 23:30,000,00,,1600 m,,13,11,1014,,,BR,,,,,,
202512020000 METAR VEPT 020000Z 00000KT 1600 BR NSC 14/10 Q1014 NOSIG=,VEPT,02-12-2025 00:00,000,00,,1600 m,,14,10,1014,,,BR,,,,,,
202512020030 METAR VEPT 020030Z 00000KT 1600 BR NSC 13/11 Q1014 NOSIG=,VEPT,02-12-2025 00:30,000,00,,1600 m,,13,11,1014,,,BR,,,,,,
202512020100 METAR VEPT 020100Z 27005KT 1600 BR NSC 14/10 Q1015 NOSIG=,VEPT,02-12-2025 01:00,270,05,,1600 m,,14,10,1015,,,BR,,,,,,
202512020130 METAR VEPT 020130Z 27005KT 1600 BR NSC 15/11 Q1015 NOSIG=,VEPT,02-12-2025 01:30,270,05,,1600 m,,15,11,1015,,,BR,,,,,,
202512020200 METAR VEPT 020200Z 27004KT 1800 BR NSC 15/12 Q1015 NOSIG=,VEPT,02-12-2025 02:00,270,04,,1800 m,,15,12,1015,,,BR,,,,,,
202512020230 METAR VEPT 020230Z 27003KT 1800 BR NSC 16/12 Q1015 NOSIG=,VEPT,02-12-2025 02:30,270,03,,1800 m,,16,12,1015,,,BR,,,,,,
202512020300 METAR VEPT 020300Z 26004KT 2000 HZ NSC 17/11 Q1016 NOSIG=,VEPT,02-12-2025 03:00,260,04,,2000 m,,17,11,1016,,,HZ,,,,,,
202512020330 METAR VEPT 020330Z 24003KT 2000 HZ NSC 18/11 Q1016 NOSIG=,VEPT,02-12-2025 03:30,240,03,,2000 m,,18,11,1016,,,HZ,,,,,,
202512020400 METAR VEPT 020400Z 26003KT 2500 HZ NSC 20/11 Q1016 NOSIG=,VEPT,02-12-2025 04:00,260,03,,2500 m,,20,11,1016,,,HZ,,,,,,
202512020430 METAR VEPT 020430Z 27004KT 2500 HZ NSC 21/10 Q1016 NOSIG=,VEPT,02-12-2025 04:30,270,04,,2500 m,,21,10,1016,,,HZ,,,,,,
202512020500 METAR VEPT 020500Z 27003KT 2500 HZ NSC 22/11 Q1016 BECMG 3000 HZ=,VEPT,02-12-2025 05:00,270,03,,2500 m,,22,11,1016,,,HZ,,,HZ,,,
202512020530 METAR VEPT 020530Z 27003KT 3000 HZ NSC 22/09 Q1015 NOSIG=,VEPT,02-12-2025 05:30,270,03,,3000 m,,22,9,1015,,,HZ,,,,,,
202512020600 METAR VEPT 020600Z 29004KT 3500 HZ NSC 24/08 Q1015 NOSIG=,VEPT,02-12-2025 06:00,290,04,,3500 m,,24,8,1015,,,HZ,,,,,,
202512020630 METAR VEPT 020630Z 29005KT 4000 HZ SCT100 24/06 Q1014 NOSIG=,VEPT,02-12-2025 06:30,290,05,,4000 m,SCT100,24,6,1014,,,HZ,,,,,,
202512020700 METAR VEPT 020700Z 26005KT 4500 HZ SCT100 24/06 Q1014 BECMG 5000 HZ=,VEPT,02-12-2025 07:00,260,05,,4500 m,SCT100,24,6,1014,,,HZ,,,HZ,,,
202512020730 METAR VEPT 020730Z 29006KT 5000 HZ SCT100 25/05 Q1013 NOSIG=,VEPT,02-12-2025 07:30,290,06,,5000 m,SCT100,25,5,1013,,,HZ,,,,,,
202512020800 METAR VEPT 020800Z 26008KT 5000 HZ SCT100 25/05 Q1013 NOSIG=,VEPT,02-12-2025 08:00,260,08,,5000 m,SCT100,25,5,1013,,,HZ,,,,,,
202512020830 METAR VEPT 020830Z 27009KT 5000 HZ SCT100 25/05 Q1012 NOSIG=,VEPT,02-12-2025 08:30,270,09,,5000 m,SCT100,25,5,1012,,,HZ,,,,,,
202512020900 METAR VEPT 020900Z 25009KT 5000 HZ FEW100 25/05 Q1012 NOSIG=,VEPT,02-12-2025 09:00,250,09,,5000 m,FEW100,25,5,1012,,,HZ,,,,,,
202512020930 METAR VEPT 020930Z 24007KT 5000 HZ SCT100 25/04 Q1012 NOSIG=,VEPT,02-12-2025 09:30,240,07,,5000 m,SCT100,25,4,1012,,,HZ,,,,,,
202512021000 METAR VEPT 021000Z 29005KT 5000 HZ SCT100 24/03 Q1012 NOSIG=,VEPT,02-12-2025 10:00,290,05,,5000 m,SCT100,24,3,1012,,,HZ,,,,,,
202512021030 METAR VEPT 021030Z 27006KT 5000 HZ SCT100 24/05 Q1012 NOSIG=,VEPT,02-12-2025 10:30,270,06,,5000 m,SCT100,24,5,1012,,,HZ,,,,,,
202512021100 METAR VEPT 021100Z 27005KT 5000 HZ SCT100 24/04 Q1012 NOSIG=,VEPT,02-12-2025 11:00,270,05,,5000 m,SCT100,24,4,1012,,,HZ,,,,,,
202512021130 METAR VEPT 021130Z 00000KT 4000 HZ SCT100 21/06 Q1012 NOSIG=,VEPT,02-12-2025 11:30,000,00,,4000 m,SCT100,21,6,1012,,,HZ,,,,,,
202512021200 METAR VEPT 021200Z 00000KT 4000 HZ FEW100 19/09 Q1013 NOSIG=,VEPT,02-12-2025 12:00,000,00,,4000 m,FEW100,19,9,1013,,,HZ,,,,,,
202512021230 METAR VEPT 021230Z 00000KT 4000 HZ FEW100 18/10 Q1013 NOSIG=,VEPT,02-12-2025 12:30,000,00,,4000 m,FEW100,18,10,1013,,,HZ,,,,,,
202512021300 METAR VEPT 021300Z 00000KT 3500 HZ FEW100 18/09 Q1013 NOSIG=,VEPT,02-12-2025 13:00,000,00,,3500 m,FEW100,18,9,1013,,,HZ,,,,,,
202512021330 METAR VEPT 021330Z 00000KT 3500 HZ FEW100 18/10 Q1014 NOSIG=,VEPT,02-12-2025 13:30,000,00,,3500 m,FEW100,18,10,1014,,,HZ,,,,,,
202512021400 METAR VEPT 021400Z 00000KT 3500 HZ FEW100 17/10 Q1014 BECMG 3000 HZ=,VEPT,02-12-2025 14:00,000,00,,3500 m,FEW100,17,10,1014,,,HZ,,,HZ,,,
202512021430 METAR VEPT 021430Z 00000KT 3000 HZ NSC 16/10 Q1015 NOSIG=,VEPT,02-12-2025 14:30,000,00,,3000 m,,16,10,1015,,,HZ,,,,,,
202512021500 METAR VEPT 021500Z 00000KT 3000 HZ NSC 16/11 Q1015 NOSIG=,VEPT,02-12-2025 15:00,000,00,,3000 m,,16,11,1015,,,HZ,,,,,,
202512021530 METAR VEPT 021530Z 00000KT 3000 HZ NSC 16/11 Q1015 NOSIG=,VEPT,02-12-2025 15:30,000,00,,3000 m,,16,11,1015,,,HZ,,,,,,
202512021600 METAR VEPT 021600Z 00000KT 3000 HZ NSC 16/11 Q1015 NOSIG=,VEPT,02-12-2025 16:00,000,00,,3000 m,,16,11,1015,,,HZ,,,,,,
202512021630 METAR VEPT 021630Z 00000KT 2800 BR NSC 15/11 Q1015 NOSIG=,VEPT,02-12-2025 16:30,000,00,,2800 m,,15,11,1015,,,BR,,,,,,
202512021700 METAR VEPT 021700Z 00000KT 2800 BR NSC 15/11 Q1015 NOSIG=,VEPT,02-12-2025 17:00,000,00,,2800 m,,15,11,1015,,,BR,,,,,,
202512021730 METAR VEPT 021730Z 00000KT 2500 BR NSC 14/11 Q1015 NOSIG=,VEPT,02-12-2025 17:30,000,00,,2500 m,,14,11,1015,,,BR,,,,,,
202512021800 METAR VEPT 021800Z 00000KT 2500 BR NSC 14/11 Q1015 NOSIG=,VEPT,02-12-2025 18:00,000,00,,2500 m,,14,11,1015,,,BR,,,,,,
202512021830 METAR VEPT 021830Z 00000KT 2500 BR NSC 14/11 Q1015 NOSIG=,VEPT,02-12-2025 18:30,000,00,,2500 m,,14,11,1015,,,BR,,,,,,
202512021900 METAR VEPT 021900Z 00000KT 2500 BR NSC 14/11 Q1015 NOSIG=,VEPT,02-12-2025 19:00,000,00,,2500 m,,14,11,1015,,,BR,,,,,,
202512021930 METAR VEPT 021930Z 00000KT 2200 BR NSC 13/11 Q1015 NOSIG=,VEPT,02-12-2025 19:30,000,00,,2200 m,,13,11,1015,,,BR,,,,,,
202512022000 METAR VEPT 022000Z 00000KT 2200 BR NSC 13/10 Q1015 NOSIG=,VEPT,02-12-2025 20:00,000,00,,2200 m,,13,10,1015,,,BR,,,,,,
202512022030 METAR VEPT 022030Z 00000KT 2200 BR NSC 13/10 Q1015 NOSIG=,VEPT,02-12-2025 20:30,000,00,,2200 m,,13,10,1015,,,BR,,,,,,
202512022100 METAR VEPT 022100Z 00000KT 2000 BR NSC 13/11 Q1014 NOSIG=,VEPT,02-12-2025 21:00,000,00,,2000 m,,13,11,1014,,,BR,,,,,,
202512022130 METAR VEPT 022130Z 00000KT 1800 BR NSC 13/11 Q1014 NOSIG=,VEPT,02-12-2025 21:30,000,00,,1800 m,,13,11,1014,,,BR,,,,,,
202512022200 METAR VEPT 022200Z 00000KT 1800 BR NSC 12/11 Q1014 NOSIG=,VEPT,02-12-2025 22:00,000,00,,1800 m,,12,11,1014,,,BR,,,,,,
202512022230 METAR VEPT 022230Z 00000KT 1600 BR NSC 12/10 Q1014 NOSIG=,VEPT,02-12-2025 22:30,000,00,,1600 m,,12,10,1014,,,BR,,,,,,
202512022300 METAR VEPT 022300Z 00000KT 1600 BR NSC 11/10 Q1014 NOSIG=,VEPT,02-12-2025 23:00,000,00,,1600 m,,11,10,1014,,,BR,,,,,,
202512022330 METAR VEPT 022330Z 00000KT 1600 BR NSC 12/10 Q1015 NOSIG=,VEPT,02-12-2025 23:30,000,00,,1600 m,,12,10,1015,,,BR,,,,,,
202512030000 METAR VEPT 030000Z 26003KT 1600 BR NSC 12/10 Q1015 NOSIG=,VEPT,03-12-2025 00:00,260,03,,1600 m,,12,10,1015,,,BR,,,,,,
202512030030 METAR VEPT 030030Z 26004KT 1600 BR NSC 13/10 Q1016 NOSIG=,VEPT,03-12-2025 00:30,260,04,,1600 m,,13,10,1016,,,BR,,,,,,
202512030100 METAR VEPT 030100Z 00000KT 1600 BR NSC 14/11 Q1016 BECMG 1500 BR=,VEPT,03-12-2025 01:00,000,00,,1600 m,,14,11,1016,,,BR,,,BR,,,
202512030130 METAR COR VEPT 030130Z 00000KT 1300 R25/2000 R07/2000 BR FEW100 13/12 Q1016 NOSIG=,VEPT,03-12-2025 01:30,000,00,,1300 m,FEW100,13,12,1016,,,BR,,,,,,
202512030138 METAR VEPT 030138Z 00000KT 1300 R25/2000 R07/2000 BR FEW100 13/12 Q1016 NOSIG=,VEPT,03-12-2025 01:38,000,00,,1300 m,FEW100,13,12,1016,,,BR,,,,,,
202512030200 METAR VEPT 030200Z 25003KT 1300 R25/2000 R07/2000 BR FEW100 14/10 Q1017 NOSIG=,VEPT,03-12-2025 02:00,250,03,,1300 m,FEW100,14,10,1017,,,BR,,,,,,
202512030230 METAR VEPT 030230Z 23006KT 1400 R25/1900 R07/1900 BR FEW100 15/11 Q1017 BECMG 1500 BR=,VEPT,03-12-2025 02:30,230,06,,1400 m,FEW100,15,11,1017,,,BR,,,BR,,,
202512030300 METAR VEPT 030300Z 22004KT 1500 R25/1900 R07/1900 BR FEW100 16/11 Q1018 NOSIG=,VEPT,03-12-2025 03:00,220,04,,1500 m,FEW100,16,11,1018,,,BR,,,,,,
202512030330 METAR VEPT 030330Z 25003KT 1600 BR NSC 18/11 Q1018 NOSIG=,VEPT,03-12-2025 03:30,250,03,,1600 m,,18,11,1018,,,BR,,,,,,
202512030400 METAR VEPT 030400Z 26005KT 1600 HZ NSC 19/10 Q1018 NOSIG=,VEPT,03-12-2025 04:00,260,05,,1600 m,,19,10,1018,,,HZ,,,,,,
202512030430 METAR VEPT 030430Z 27005KT 1800 HZ NSC 20/10 Q1019 NOSIG=,VEPT,03-12-2025 04:30,270,05,,1800 m,,20,10,1019,,,HZ,,,,,,
202512030500 METAR VEPT 030500Z 29004KT 2000 HZ NSC 21/10 Q1018 NOSIG=,VEPT,03-12-2025 05:00,290,04,,2000 m,,21,10,1018,,,HZ,,,,,,
202512030530 METAR VEPT 030530Z 21004KT 2000 HZ NSC 22/11 Q1018 NOSIG=,VEPT,03-12-2025 05:30,210,04,,2000 m,,22,11,1018,,,HZ,,,,,,
202512030600 METAR VEPT 030600Z 22003KT 2200 HZ NSC 23/11 Q1018 NOSIG=,VEPT,03-12-2025 06:00,220,03,,2200 m,,23,11,1018,,,HZ,,,,,,
202512030630 METAR VEPT 030630Z 22003KT 2500 HZ NSC 24/11 Q1017 NOSIG=,VEPT,03-12-2025 06:30,220,03,,2500 m,,24,11,1017,,,HZ,,,,,,
202512030700 METAR VEPT 030700Z 25005KT 2500 HZ NSC 24/11 Q1017 NOSIG=,VEPT,03-12-2025 07:00,250,05,,2500 m,,24,11,1017,,,HZ,,,,,,
202512030730 METAR VEPT 030730Z 27003KT 2800 HZ NSC 25/10 Q1016 BECMG 3000 HZ=,VEPT,03-12-2025 07:30,270,03,,2800 m,,25,10,1016,,,HZ,,,HZ,,,
202512030800 METAR VEPT 030800Z 24005KT 3000 HZ NSC 26/10 Q1016 NOSIG=,VEPT,03-12-2025 08:00,240,05,,3000 m,,26,10,1016,,,HZ,,,,,,
202512030830 METAR VEPT 030830Z 32003KT 3000 HZ NSC 25/09 Q1015 NOSIG=,VEPT,03-12-2025 08:30,320,03,,3000 m,,25,9,1015,,,HZ,,,,,,
202512030900 METAR VEPT 030900Z 31006KT 3000 HZ NSC 25/10 Q1015 NOSIG=,VEPT,03-12-2025 09:00,310,06,,3000 m,,25,10,1015,,,HZ,,,,,,
202512030930 METAR VEPT 030930Z 28005KT 3000 HZ NSC 25/10 Q1015 NOSIG=,VEPT,03-12-2025 09:30,280,05,,3000 m,,25,10,1015,,,HZ,,,,,,
202512031000 METAR VEPT 031000Z 27005KT 3500 HZ NSC 25/11 Q1015 NOSIG=,VEPT,03-12-2025 10:00,270,05,,3500 m,,25,11,1015,,,HZ,,,,,,
202512031030 METAR VEPT 031030Z 28004KT 3500 HZ NSC 24/11 Q1015 NOSIG=,VEPT,03-12-2025 10:30,280,04,,3500 m,,24,11,1015,,,HZ,,,,,,
202512031100 METAR VEPT 031100Z 27002KT 3500 HZ NSC 23/12 Q1015 BECMG 3000 HZ=,VEPT,03-12-2025 11:00,270,02,,3500 m,,23,12,1015,,,HZ,,,HZ,,,
202512031130 METAR VEPT 031130Z 00000KT 2800 HZ NSC 20/13 Q1015 NOSIG=,VEPT,03-12-2025 11:30,000,00,,2800 m,,20,13,1015,,,HZ,,,,,,
202512031200 METAR VEPT 031200Z 00000KT 2800 HZ NSC 19/14 Q1015 NOSIG=,VEPT,03-12-2025 12:00,000,00,,2800 m,,19,14,1015,,,HZ,,,,,,
202512031230 METAR VEPT 031230Z 00000KT 2500 BR NSC 18/14 Q1016 NOSIG=,VEPT,03-12-2025 12:30,000,00,,2500 m,,18,14,1016,,,BR,,,,,,
202512031300 METAR VEPT 031300Z 00000KT 2500 BR NSC 18/14 Q1016 NOSIG=,VEPT,03-12-2025 13:00,000,00,,2500 m,,18,14,1016,,,BR,,,,,,
202512031330 METAR VEPT 031330Z 00000KT 2500 BR NSC 17/15 Q1016 NOSIG=,VEPT,03-12-2025 13:30,000,00,,2500 m,,17,15,1016,,,BR,,,,,,
202512031400 METAR VEPT 031400Z 00000KT 2500 BR NSC 17/13 Q1017 NOSIG=,VEPT,03-12-2025 14:00,000,00,,2500 m,,17,13,1017,,,BR,,,,,,
202512031430 METAR VEPT 031430Z 00000KT 2500 BR NSC 17/14 Q1017 NOSIG=,VEPT,03-12-2025 14:30,000,00,,2500 m,,17,14,1017,,,BR,,,,,,
202512031500 METAR VEPT 031500Z 00000KT 2500 BR NSC 17/13 Q1017 NOSIG=,VEPT,03-12-2025 15:00,000,00,,2500 m,,17,13,1017,,,BR,,,,,,
202512031530 METAR VEPT 031530Z 00000KT 2500 BR NSC 19/13 Q1017 NOSIG=,VEPT,03-12-2025 15:30,000,00,,2500 m,,19,13,1017,,,BR,,,,,,
202512031600 METAR VEPT 031600Z 00000KT 2500 BR NSC 18/13 Q1017 NOSIG=,VEPT,03-12-2025 16:00,000,00,,2500 m,,18,13,1017,,,BR,,,,,,
202512031630 METAR VEPT 031630Z 00000KT 2200 BR NSC 18/13 Q1017 NOSIG=,VEPT,03-12-2025 16:30,000,00,,2200 m,,18,13,1017,,,BR,,,,,,
202512031700 METAR VEPT 031700Z 00000KT 2200 BR NSC 17/13 Q1017 NOSIG=,VEPT,03-12-2025 17:00,000,00,,2200 m,,17,13,1017,,,BR,,,,,,
202512031730 METAR VEPT 031730Z 00000KT 2200 BR NSC 17/13 Q1017 NOSIG=,VEPT,03-12-2025 17:30,000,00,,2200 m,,17,13,1017,,,BR,,,,,,
202512031800 METAR VEPT 031800Z 00000KT 2200 BR NSC 17/13 Q1017 NOSIG=,VEPT,03-12-2025 18:00,000,00,,2200 m,,17,13,1017,,,BR,,,,,,
202512031830 METAR VEPT 031830Z 00000KT 2000 BR NSC 17/12 Q1016 NOSIG=,VEPT,03-12-2025 18:30,000,00,,2000 m,,17,12,1016,,,BR,,,,,,
202512031900 METAR VEPT 031900Z 00000KT 2000 BR NSC 16/12 Q1016 NOSIG=,VEPT,03-12-2025 19:00,000,00,,2000 m,,16,12,1016,,,BR,,,,,,
202512031930 METAR VEPT 031930Z 00000KT 2000 BR NSC 16/12 Q1016 NOSIG=,VEPT,03-12-2025 19:30,000,00,,2000 m,,16,12,1016,,,BR,,,,,,
202512032000 METAR VEPT 032000Z 00000KT 2000 BR NSC 16/12 Q1016 NOSIG=,VEPT,03-12-2025 20:00,000,00,,2000 m,,16,12,1016,,,BR,,,,,,
202512032030 METAR VEPT 032030Z 00000KT 2000 BR NSC 16/11 Q1016 NOSIG=,VEPT,03-12-2025 20:30,000,00,,2000 m,,16,11,1016,,,BR,,,,,,
